episod,total_reward
219,2.997110050163257
220,2.9971144286859195
221,2.997062741484455
222,2.996977206730594
223,2.9968680693961334
224,2.996598326975695
225,2.996384964090856
226,2.996037212987476
227,2.9956333433691835
228,2.995281338223509
229,2.9948834052468536
230,2.9944234494720474
231,5.969901572297953
232,5.968735019807355
233,5.953218908621946
234,11.652827951659534
235,17.5866949668413
236,14.57309749456984
237,14.582475035140352
238,11.729878733841293
239,14.578534216796921
240,14.56097566361976
241,14.550922760829817
242,14.557030556772602
243,14.555638505057779
244,14.550530902586976
245,14.554978171235968
246,14.552027927190311
247,14.555219642317805
248,14.553669093681211
249,14.551330444935264
250,14.54752894803634
251,14.54716507872505
252,14.551870781514094
253,14.55166655688264
254,14.557238736824615
255,14.544210913782974
256,14.546014752264998
257,14.553959601541
258,14.550353624155198
259,14.548200480781965
260,14.549455005756815
261,14.553752669673676
262,14.552127716080875
263,14.550774636676316
264,14.551480943806203
265,14.54797894460522
266,14.570433762133987
267,8.849124478625853
268,11.603568142135924
269,14.2818294852371
270,16.97427925682778
271,16.96239925018227
272,16.952649866329292
273,14.270594846156884
274,14.265884391692381
275,14.267468766836576
276,14.269730329753305
277,14.269541210645983
278,14.279116294629032
279,14.26092048570541
280,16.954195132285708
281,16.95626080227446
282,16.948920557303197
283,16.93165126320422
284,16.94762190751479
285,16.96626390434825
286,16.94610034312073
287,16.94631647515989
288,16.941129832341
289,16.953663792950405
290,16.93418979965219
291,16.958451419327435
292,16.948471919869597
293,16.947954844636406
294,14.268467100200532
295,14.271461438174212
296,16.94744519510171
297,16.946749221178905
298,16.949249336556342
299,16.949880174879283
300,16.948140246416827
301,16.95541526249726
302,16.955811414493976
303,16.94944050737641
304,16.946982625087895
305,16.942450297628724
306,16.92817839636553
307,14.270866886386457
308,14.278242760053299
309,11.609158769135917
310,8.847395808124915
311,11.726533310370016
312,14.55163753249562
313,14.542849379393049
314,14.553389762446606
315,14.548946935685887
316,14.545887202442234
317,14.5549885107943
318,14.549234404528603
